t-24,t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,forecast
148500.0000,135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,131220.0000,149040.0000,140231.0000,150660.0000,143640.0000,146340.0000,151200.0000,127440.0000,145631.0000,144720.0000,152820.0000,144652.8000
135371.0000,146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,159840.0000,149951.0000,144180.0000,142020.0000,151740.0000,158760.0000,163620.0000,153191.0000,147960.0000,161460.0000,152280.0000,150523.2000
133211.0000,129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,131220.0000,142931.0000,145260.0000,143640.0000,135000.0000,142560.0000,150120.0000,163991.0000,151740.0000,140940.0000,150120.0000,141555.4000
135371.0000,139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,131220.0000,149040.0000,140231.0000,150660.0000,143640.0000,146340.0000,151200.0000,127440.0000,145631.0000,144720.0000,152820.0000,152820.0000,145308.9000
146340.0000,138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,159840.0000,149951.0000,144180.0000,142020.0000,151740.0000,158760.0000,163620.0000,153191.0000,147960.0000,161460.0000,152280.0000,149040.0000,150468.4000
129060.0000,150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,131220.0000,142931.0000,145260.0000,143640.0000,135000.0000,142560.0000,150120.0000,163991.0000,151740.0000,140940.0000,150120.0000,148500.0000,142256.1000
139860.0000,153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,131220.0000,149040.0000,140231.0000,150660.0000,143640.0000,146340.0000,151200.0000,127440.0000,145631.0000,144720.0000,152820.0000,152820.0000,149580.0000,147500.4000
138240.0000,147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,159840.0000,149951.0000,144180.0000,142020.0000,151740.0000,158760.0000,163620.0000,153191.0000,147960.0000,161460.0000,152280.0000,149040.0000,154440.0000,152648.6000
150120.0000,145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,131220.0000,142931.0000,145260.0000,143640.0000,135000.0000,142560.0000,150120.0000,163991.0000,151740.0000,140940.0000,150120.0000,148500.0000,140940.0000,140695.7000
153900.0000,152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,131220.0000,149040.0000,140231.0000,150660.0000,143640.0000,146340.0000,151200.0000,127440.0000,145631.0000,144720.0000,152820.0000,152820.0000,149580.0000,139320.0000,146751.1000
147960.0000,149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,159840.0000,149951.0000,144180.0000,142020.0000,151740.0000,158760.0000,163620.0000,153191.0000,147960.0000,161460.0000,152280.0000,149040.0000,154440.0000,162540.0000,154061.0000
145800.0000,136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,131220.0000,142931.0000,145260.0000,143640.0000,135000.0000,142560.0000,150120.0000,163991.0000,151740.0000,140940.0000,150120.0000,148500.0000,140940.0000,147420.0000,143401.1000
152280.0000,149580.0000,150660.0000,145260.0000,160751.0000,138780.0000,144720.0000,135540.0000,137160.0000,131220.0000,149040.0000,140231.0000,150660.0000,143640.0000,146340.0000,151200.0000,127440.0000,145631.0000,144720.0000,152820.0000,152820.0000,149580.0000,139320.0000,152280.0000,143737.0000
149040.0000,149580.0000,142020.0000,148871.0000,144720.0000,143640.0000,158220.0000,148500.0000,148500.0000,159840.0000,149951.0000,144180.0000,142020.0000,151740.0000,158760.0000,163620.0000,153191.0000,147960.0000,161460.0000,152280.0000,149040.0000,154440.0000,162540.0000,153731.0000,150054.2000
136620.0000,140400.0000,135540.0000,157511.0000,148500.0000,142020.0000,146880.0000,136620.0000,142560.0000,131220.0000,142931.0000,145260.0000,143640.0000,135000.0000,142560.0000,150120.0000,163991.0000,151740.0000,140940.0000,150120.0000,148500.0000,140940.0000,147420.0000,140231.0000,141705.9000
